task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
187	1f/ca8151	102951	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_CONSENSUS (ERR5556343)	COMPLETED	0	2023-10-23 17:19:52.394	1.8s	0ms	454.9%	3 MB	5.4 MB	149 KB	60.1 KB
188	11/217bac	103202	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_CONSENSUS (ERR5743893)	COMPLETED	0	2023-10-23 17:19:54.155	1.8s	0ms	568.1%	3 MB	5.4 MB	148.8 KB	60.1 KB
189	04/2b11ac	103455	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_CONSENSUS (ERR5181310)	COMPLETED	0	2023-10-23 17:19:56.009	1.6s	0ms	263.5%	3.1 MB	5.4 MB	149.4 KB	60.1 KB
190	13/cedb44	103708	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:RENAME_FASTA_HEADER (SRR13500958)	COMPLETED	0	2023-10-23 17:19:57.650	1.7s	13ms	80.0%	0	0	120.5 KB	31.1 KB
191	ca/a187ed	103926	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:RENAME_FASTA_HEADER (ERR5405022)	COMPLETED	0	2023-10-23 17:19:59.372	1.8s	11ms	137.1%	0	0	120.5 KB	31.1 KB
192	3c/8432ff	104202	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:RENAME_FASTA_HEADER (ERR5556343)	COMPLETED	0	2023-10-23 17:20:01.173	1.8s	13ms	137.1%	0	0	120.5 KB	31.1 KB
193	68/9e358c	104546	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:RENAME_FASTA_HEADER (ERR5743893)	COMPLETED	0	2023-10-23 17:20:03.010	1.8s	13ms	120.0%	0	0	120.5 KB	31.1 KB
194	1f/6dd1a0	104846	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:RENAME_FASTA_HEADER (ERR5181310)	COMPLETED	0	2023-10-23 17:20:04.794	1.9s	13ms	129.7%	0	0	120.4 KB	31 KB
195	0b/cd2c50	105166	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:CONSENSUS_QC:PLOT_BASE_DENSITY (SRR13500958.consensus.fa)	COMPLETED	0	2023-10-23 17:20:06.719	10.6s	8s	115.0%	391.4 MB	2.5 GB	23.2 MB	2.6 MB
196	6e/45a4d1	105820	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:CONSENSUS_QC:PLOT_BASE_DENSITY (ERR5405022.consensus.fa)	COMPLETED	0	2023-10-23 17:20:17.275	10.5s	7s	113.8%	398.2 MB	2.5 GB	23.2 MB	2.6 MB
197	38/4b5b7c	106517	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:CONSENSUS_QC:PLOT_BASE_DENSITY (ERR5556343.consensus.fa)	COMPLETED	0	2023-10-23 17:20:27.780	10.7s	8s	115.7%	394.1 MB	2.5 GB	23.2 MB	2.6 MB
198	75/1178d7	107211	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:CONSENSUS_QC:PLOT_BASE_DENSITY (ERR5743893.consensus.fa)	COMPLETED	0	2023-10-23 17:20:38.462	10.2s	7s	116.4%	393.7 MB	2.5 GB	23.2 MB	2.6 MB
199	c6/4598ef	107904	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:CONSENSUS_QC:PLOT_BASE_DENSITY (ERR5181310.consensus.fa)	COMPLETED	0	2023-10-23 17:20:48.659	10.2s	8s	116.3%	391.8 MB	2.5 GB	23.2 MB	2.6 MB
200	d7/fc59ac	108600	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:CONSENSUS_QC:QUAST	COMPLETED	0	2023-10-23 17:20:58.825	16.2s	14.3s	161.3%	203.6 MB	4.6 GB	629.8 MB	8.2 MB
201	52/4d4da0	109755	NFCORE_VIRALRECON:ILLUMINA:CUSTOM_DUMPSOFTWAREVERSIONS (1)	COMPLETED	0	2023-10-23 17:21:14.984	1.9s	216ms	75.1%	1.9 MB	9.6 MB	993.7 KB	9.1 KB
202	83/7f2a15	109985	NFCORE_VIRALRECON:ILLUMINA:MULTIQC (1)	COMPLETED	0	2023-10-23 17:21:16.938	47.3s	45.4s	98.3%	146 MB	2.3 GB	105 MB	37.3 MB
